Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDA22,OUT017,2573.770272128196
NCL06,OUT046,3846.102529702336
FDI35,OUT013,3013.4084290052015
NCW42,OUT045,3620.5196500292304
NCX06,OUT049,3030.0717210326334
FDC37,OUT027,2631.2300037226983
FDZ14,OUT018,1861.6063976767705
DRG49,OUT049,3829.8680858418575
NCG06,OUT045,3842.0952740292246
DRC36,OUT045,2925.0500032859163
FDV21,OUT019,306.28791878106364
FDB53,OUT046,2513.1848850792608
DRP47,OUT019,603.2365663498357
FDA14,OUT013,2403.0124959221525
DRC24,OUT035,2573.781893987325
FDW21,OUT018,1620.4438800956714
NCH29,OUT046,1574.7156534920348
FDU58,OUT013,3005.9684778936444
FDY27,OUT017,2993.5169416670437
FDV56,OUT035,1707.247444144859
FDT59,OUT046,3837.613075263489
FDB23,OUT046,3697.2815841145975
FDR49,OUT045,723.1275349015875
FDB03,OUT010,600.045366839607
FDN39,OUT045,2605.6047093436177
FDX02,OUT027,4868.50015655914
FDQ16,OUT027,2680.2570586215916
FDU35,OUT018,1568.942926528712
NCT29,OUT013,1978.8622473304954
FDZ27,OUT046,723.1275349015875
FDN57,OUT017,2028.5622188720472
FDA03,OUT018,2370.9074904664435
FDZ36,OUT045,3017.386422843585
NCU05,OUT013,1302.3185123815656
FDT39,OUT018,2336.86133206246
FDK60,OUT017,1564.4063934818996
FDZ25,OUT017,2832.433947049374
FDG12,OUT046,2060.2400488314333
DRB01,OUT019,478.0609045208011
NCC43,OUT027,5124.304851478408
FDX13,OUT019,476.8228929982514
FDM22,OUT049,879.7669645385383
FDJ03,OUT027,1567.690107942505
FDU14,OUT018,3423.573346132128
FDB33,OUT010,432.5630207269146
FDP27,OUT046,3008.8932518508254
FDO38,OUT010,163.5841344638189
FDE28,OUT027,5160.61553874926
FDO27,OUT035,1547.832705420345
DRL23,OUT027,2585.296807152138
FDS28,OUT046,893.0388126110262
FDX24,OUT013,1421.6804431860332
FDZ02,OUT035,1563.9220508749488
FDL46,OUT045,1942.921007655017
FDS60,OUT027,4402.0078919445405
NCO06,OUT017,570.0498805594275
FDO16,OUT035,1400.4434595247433
FDC60,OUT049,1402.2058505771442
FDA48,OUT018,3298.3810480845377
FDZ36,OUT027,4699.684426527582
FDK27,OUT045,2046.4870542374708
FDW23,OUT018,645.6124530083716
FDM14,OUT018,1643.3827166029216
FDM14,OUT013,1688.5279061538631
FDW60,OUT018,2942.7807768005437
FDE21,OUT013,1943.0545946891937
NCM42,OUT035,1709.9046589810393
FDY59,OUT010,200.950325077923
DRI49,OUT049,1306.3848360228592
FDT28,OUT019,334.85079658081776
FDQ22,OUT018,651.1080020019859
FDR60,OUT049,1226.56717961293
FDC50,OUT019,252.5837235619136
FDV24,OUT013,2346.7592211931396
DRF48,OUT010,528.8944169522166
FDQ47,OUT046,588.9564639790547
DRN36,OUT049,1566.8517216974326
NCY06,OUT035,2016.0860603386059
FDE52,OUT035,1404.8881269902633
NCB54,OUT045,2019.3000897757383
NCF31,OUT035,2551.441586800027
FDJ08,OUT027,5067.976928274891
NCC07,OUT017,1682.125767327996
NCD19,OUT027,1712.8585284630346
FDL46,OUT049,1980.2017411049308
FDM20,OUT045,3794.4052730388144
NCI06,OUT010,414.12231231447424
DRM11,OUT035,3896.5095759943565
NCH07,OUT018,2364.3859403087217
FDS23,OUT013,1989.8236697850048
FDO49,OUT018,727.3606987095022
FDS35,OUT049,1003.315277408617
DRK39,OUT045,1353.0759951513028
DRI39,OUT049,892.4848957937502
FDV04,OUT017,2486.6659559410678
NCN14,OUT035,2988.9399833496864
FDH08,OUT013,3834.910135547736
FDS20,OUT046,2977.496246766759
FDV40,OUT049,1159.2863271160138
FDZ48,OUT010,235.32478306387253
FDS24,OUT027,2607.266878897235
FDK44,OUT049,2900.7642802880773
FDS48,OUT045,2522.7955004087967
FDK26,OUT010,741.5135049713742
FDD23,OUT045,3015.0533021433343
NCH54,OUT017,2532.5996261727473
NCP14,OUT010,216.13376097245816
FDM60,OUT010,91.90045511511285
FDV24,OUT017,2484.9367824236
FDH08,OUT018,3330.8521831811395
FDS12,OUT027,3186.107708555794
FDR39,OUT027,4440.707977607888
FDP12,OUT027,966.9948006700283
DRF60,OUT027,5056.682718193883
FDC09,OUT035,1679.1827728792719
FDF50,OUT018,2939.9815605301687
FDG28,OUT035,3862.0943228820224
NCE19,OUT017,884.5830263944605
NCM53,OUT010,231.7887304999643
NCN18,OUT049,1737.9784184866157
FDF32,OUT035,3067.0429323461226
FDF11,OUT013,3915.756415336306
DRI59,OUT049,3684.9641565680668
NCG54,OUT035,2829.7434149445494
FDM44,OUT046,1670.96686774584
FDT57,OUT018,3366.7012415965846
FDV24,OUT046,2484.348506894383
FDI50,OUT019,492.6709086455735
FDS09,OUT035,747.2810091829549
NCC31,OUT027,3544.5303113055693
FDQ07,OUT019,579.2422977755673
FDC22,OUT017,3051.0662144606117
FDZ56,OUT046,2808.8036947984556
FDZ40,OUT019,208.2085724750462
FDS46,OUT027,2963.358583005158
DRD24,OUT045,2062.2589198362675
FDV45,OUT017,3003.3571479590423
FDL26,OUT045,2519.9028931896596
FDA56,OUT018,1896.1296488608525
FDN27,OUT046,1985.7472085243226
FDM20,OUT049,3834.9127411542922
FDO16,OUT017,1378.2414005462751
FDL03,OUT035,3000.539277507025
FDE58,OUT046,1952.739031684928
FDI02,OUT027,2995.4541367656516
NCC55,OUT019,71.72628934370373
FDR03,OUT018,3153.0828066533313
FDB14,OUT017,1418.0812132380095
FDR45,OUT013,3826.5519997875863
NCN07,OUT017,2037.6616581567248
FDM51,OUT019,262.26677396810675
FDT52,OUT027,4995.56779524435
FDL26,OUT046,2516.111913445161
NCZ42,OUT046,3926.297544081468
DRI47,OUT019,363.81291173801424
FDW40,OUT013,2010.9235928294065
FDN34,OUT046,2811.076125511867
FDS01,OUT035,3017.2861419930045
NCG55,OUT045,1961.2659655748948
FDC11,OUT035,1369.7653956939716
FDX35,OUT018,3202.2171676550306
NCB06,OUT046,2519.443253565648
FDR09,OUT019,584.3525356691916
FDC53,OUT017,1568.0056234299234
FDY45,OUT013,3859.1438593944727
FDA22,OUT010,378.96256784960417
FDE02,OUT035,1537.8717189947884
FDW21,OUT045,1663.5435628221926
FDV34,OUT046,1116.386807863499
FDS59,OUT049,1707.247444144859
NCW17,OUT017,2053.513506127929
NCK54,OUT046,1971.0839896048058
FDG17,OUT019,493.2210197898381
FDG35,OUT017,2880.044670533766
FDD08,OUT010,118.94706298742085
NCO07,OUT017,3450.0089617715425
FDJ10,OUT010,320.19024465875447
FDW36,OUT017,1674.2302214974122
FDW21,OUT010,240.72614458457346
FDY19,OUT017,1964.4632054243139
DRE03,OUT013,719.9692545753506
NCC55,OUT049,639.4616537769223
FDH52,OUT010,163.5293487810865
FDO09,OUT017,3759.3653496885977
FDU43,OUT045,3798.269211137102
FDX09,OUT010,375.2175410794361
FDH40,OUT019,223.78586145036562
FDW58,OUT017,1674.2302214974122
FDC47,OUT017,3581.8648516277344
NCR41,OUT035,1530.5401882431872
DRG49,OUT035,3857.0496675695877
FDC52,OUT027,3601.189012767601
FDY13,OUT046,1132.2517169373582
FDY35,OUT013,681.258417685702
FDI35,OUT017,3051.39053240833
NCU18,OUT049,2072.989269962272
FDY33,OUT018,2372.616343295151
FDC15,OUT027,3602.4508840695785
FDU01,OUT049,3035.232669709918
NCU42,OUT046,2829.837929384985
NCV29,OUT018,2937.9218667626697
NCY30,OUT017,2989.9773566845934
FDQ46,OUT049,1749.434474720351
FDG58,OUT027,3604.0268908903686
FDK33,OUT017,3434.114225706131
NCD07,OUT045,1942.921007655017
NCX29,OUT027,3500.4697893428515
NCT42,OUT013,2332.7332206672327
DRN59,OUT035,723.6587785359426
FDI44,OUT035,1215.4317427037424
FDA45,OUT049,2880.466311890443
FDP31,OUT045,1012.1317499935191
FDY01,OUT046,1948.5927606144521
FDT09,OUT018,1908.1251627218933
DRH03,OUT027,2613.311947396151
FDA36,OUT018,2947.672101458653
NCF31,OUT017,2494.3598817870798
FDG14,OUT049,2498.5466290953955
FDG28,OUT027,4996.148987784892
FDU14,OUT049,3868.380860670852
FDY47,OUT019,285.5574032811027
FDI56,OUT049,1400.850050988904
DRD01,OUT013,871.009365321173
FDM22,OUT046,884.5830263944605
FDH33,OUT013,656.8298996487023
DRZ24,OUT013,1927.3868654568807
NCQ38,OUT046,1678.3221973466757
FDO16,OUT027,2302.0426779964596
FDU07,OUT027,3627.8252198597343
NCB07,OUT013,2988.3424031462155
FDU48,OUT045,2024.1330760525639
NCM43,OUT045,2602.9683165122633
FDR31,OUT010,337.72221534740385
DRK49,OUT018,653.0007699164083
NCI30,OUT010,573.6677922787758
DRD60,OUT017,3008.1993230199623
NCG19,OUT046,3725.4395218923264
FDH12,OUT035,1681.177694097581
FDM32,OUT035,1420.8674621046937
FDM27,OUT035,2570.743640976965
NCU53,OUT027,4064.235633494274
NCQ18,OUT046,1602.4162066345243
FDS10,OUT013,2969.228965011349
FDB33,OUT027,3686.273161668122
FDI12,OUT013,1366.9895655833927
NCW42,OUT013,3618.325055921307
NCC06,OUT018,1890.1708225178095
FDW02,OUT017,2041.5966287207762
NCD43,OUT017,1674.2302214974122
FDM57,OUT018,1323.422537242244
FDA58,OUT017,3614.680070789314
FDK56,OUT046,2958.6722500822093
FDP52,OUT045,3756.3820888627033
FDW20,OUT018,1887.6510192843666
FDS52,OUT049,1637.0843778921599
NCT29,OUT018,1849.9731592403564
NCL54,OUT013,2939.599198891729
FDC05,OUT045,2963.6348386004056
FDF34,OUT035,3034.4480207398838
FDP03,OUT027,3001.768618920803
FDD32,OUT010,189.21229075242732
FDZ10,OUT045,2016.0860603386059
FDZ40,OUT035,884.5830263944605
FDD51,OUT018,679.3429723563692
NCY30,OUT019,410.8979821224737
FDP58,OUT017,3410.3369278208293
FDV49,OUT017,3806.6570698777564
FDY24,OUT019,177.19172168827367
NCO55,OUT017,1692.3938310686963
FDR13,OUT017,1961.2659655748948
FDS51,OUT017,925.7464485210163
FDP26,OUT045,1674.2302214974122
NCB54,OUT027,3185.663490896714
FDF32,OUT017,2981.1369554678968
FDN31,OUT018,2935.7029636352895
DRM48,OUT017,582.0659231990804
FDN20,OUT049,2856.3601117056746
DRL01,OUT046,3746.859526184527
FDV56,OUT049,1694.4908856996508
DRH13,OUT027,2630.9123224936916
FDA03,OUT017,2531.0145995464454
FDF47,OUT027,4780.323870068958
FDX32,OUT046,2513.1848850792608
FDX57,OUT049,1563.7412565226268
NCA30,OUT045,2974.2697985466475
FDO49,OUT013,727.3606987095022
FDL04,OUT019,242.77002699891432
DRM48,OUT035,589.4877076134097
FDR16,OUT013,3381.6601703071974
NCC19,OUT018,3001.97013585379
NCE42,OUT045,3893.7078201838845
FDY24,OUT017,888.6850261587227
FDH19,OUT049,2948.9444303013997
FDJ46,OUT013,2896.084805261427
FDN45,OUT010,579.228299589577
FDY08,OUT035,2024.1330760525639
FDZ37,OUT035,1380.8824368401276
NCT30,OUT045,723.1275349015875
DRY23,OUT018,653.0007699164083
NCZ30,OUT018,1891.2761550165264
FDC44,OUT018,1832.749270307607
FDB45,OUT035,1677.0857182483173
FDY04,OUT013,2439.577531916011
FDM27,OUT046,2516.5577616714063
FDZ43,OUT017,3662.5490719140153
FDT39,OUT019,500.9449735468116
NCC06,OUT019,327.4718834025954
FDL15,OUT027,3432.2280104472025
FDL57,OUT017,3704.6708131866267
FDU08,OUT046,1585.6324102249987
FDK40,OUT017,3798.403421733285
FDQ12,OUT010,540.6835500133557
FDS48,OUT017,2522.9446792423764
FDP09,OUT045,3419.6346703175886
FDW21,OUT049,1614.5818415045824
FDY25,OUT035,3020.8113797069086
DRE13,OUT017,1382.8195729011695
FDV43,OUT019,125.28870909314938
FDD22,OUT045,1742.973949030996
FDM46,OUT019,285.68783609585495
NCO30,OUT010,484.7596108147189
FDM25,OUT046,2924.016106741331
NCN41,OUT049,2040.8144466462018
FDU24,OUT045,1425.9451450326117
FDZ50,OUT046,3014.7289721364814
FDP45,OUT013,3850.7730629607236
NCM54,OUT045,2016.0860603386059
FDW10,OUT019,409.63248954906487
FDP20,OUT017,2019.3000897757383
FDK32,OUT046,2516.111913445161
FDN52,OUT049,1371.729082074531
FDM58,OUT045,1736.5572295554489
FDZ46,OUT027,3007.158228563457
NCA18,OUT018,1803.0164875193195
FDD35,OUT046,2047.8264486908965
NCK31,OUT035,731.0502226700942
FDI40,OUT027,2667.4806520368315
FDT50,OUT019,255.45448087392154
NCT06,OUT046,2588.398518186151
FDT31,OUT035,2927.1117278601832
FDT45,OUT049,877.5119823055487
FDT13,OUT045,3008.76862509569
FDO50,OUT045,1409.2206706850902
NCU18,OUT010,289.17410957796614
NCR54,OUT049,3056.103737539943
NCO18,OUT018,2952.281171676449
FDU09,OUT045,893.0388126110262
FDT13,OUT018,2971.634168027307
FDE09,OUT046,1753.715138073168
NCK53,OUT019,260.90642080270686
FDG45,OUT049,3448.1140628551243
DRH15,OUT035,700.3810135019027
FDO21,OUT019,535.0889803959323
FDD14,OUT027,4859.634002413256
FDC09,OUT046,1676.3272761283667
FDH45,OUT027,960.6406074599578
FDV32,OUT046,1008.4192416161718
FDG12,OUT035,2003.7365036661708
FDS32,OUT013,2012.510864847186
NCL55,OUT018,3396.0283285458822
DRE01,OUT035,3835.6930114785473
DRE15,OUT049,1205.1024406199413
NCL42,OUT045,3789.31553929998
FDP31,OUT013,979.4367314754528
FDN33,OUT018,1393.5767367972433
FDZ59,OUT046,2566.376194797158
FDE45,OUT010,392.94086990234405
FDJ07,OUT013,1957.9942550301191
FDQ45,OUT018,2948.8484832378845
FDM33,OUT027,4965.88653974683
FDO15,OUT010,191.5538253813803
FDM46,OUT013,1418.9264407342887
FDR03,OUT045,3216.6571269189235
FDY49,OUT018,2743.089004091374
FDQ60,OUT045,1966.8202435156327
FDW10,OUT049,2925.583180397556
FDO51,OUT049,691.2560740612216
FDJ40,OUT018,1623.0813774077094
FDS20,OUT018,2938.250154692181
FDU45,OUT013,1818.609606625141
FDV02,OUT035,2827.093591127424
FDN09,OUT046,3816.970945879507
NCM55,OUT027,4813.033561492284
FDN23,OUT018,2377.8491937069416
FDY31,OUT010,358.31934248608087
FDW03,OUT010,238.20519965052293
FDD14,OUT046,2932.2367571788013
FDV23,OUT017,2016.0860603386059
DRI03,OUT045,2938.9873368459275
FDN13,OUT035,1605.2717033854296
FDF45,OUT027,1694.6185338392854
FDU46,OUT035,1378.178188984794
FDB57,OUT049,3620.26360280977
FDV12,OUT049,1604.5132612654788
FDQ58,OUT013,2367.626940952512
NCA18,OUT017,1942.921007655017
FDH52,OUT049,926.7454064085049
FDM24,OUT018,2320.5072128975066
NCP43,OUT027,4544.577613289867
NCO18,OUT019,418.9596768572805
FDM32,OUT017,1418.0119653537884
NCL07,OUT017,608.4098491311869
FDK03,OUT013,3859.3256357419195
FDP59,OUT017,1676.3272761283667
FDQ24,OUT049,3874.2897282507533
FDQ16,OUT018,1625.7719524605127
FDU44,OUT013,2378.390860171083
FDH28,OUT010,84.66887983258273
FDV28,OUT019,86.69791022528052
FDM22,OUT045,884.5830263944605
FDR56,OUT046,2982.5161374367813
FDV39,OUT049,3078.912939130345
FDU37,OUT019,194.94455281750578
FDQ11,OUT010,558.4806807991922
FDX02,OUT045,3659.932261419621
NCS42,OUT018,1383.6157503716865
FDY57,OUT027,2691.797922521356
FDB21,OUT049,3780.721529669719
FDE28,OUT017,3591.0664604487833
FDQ55,OUT017,1999.7630367478298
FDA48,OUT049,3613.8144823741736
FDZ19,OUT045,2880.045428419297
NCC43,OUT045,3801.292509223929
NCV18,OUT046,1367.0873789389473
NCA42,OUT018,2321.523561597937
FDY45,OUT046,3871.041760638147
NCC30,OUT045,2982.6782591076953
FDM57,OUT013,1364.7696558354003
FDL09,OUT010,421.92559921033535
FDB09,OUT027,3277.3766260936477
FDT44,OUT035,1962.8852729515813
NCT06,OUT027,4193.032384993744
FDX26,OUT049,3041.2812334587334
FDK32,OUT013,2374.517855217831
DRA12,OUT046,2115.6146598429377
FDO46,OUT010,502.73762303297264
FDE52,OUT013,1371.654214401644
NCH42,OUT045,3737.6709556163505
FDV08,OUT035,656.257229132162
FDB47,OUT018,3192.070260771443
FDC28,OUT010,237.35452272793708
FDD22,OUT046,1948.5927606144521
FDS07,OUT027,3123.543816656706
DRI13,OUT045,3464.922352659876
FDG32,OUT018,3475.6546167671186
FDU14,OUT017,3704.6964904464985
FDD28,OUT019,179.71402374378158
NCP41,OUT017,1706.9623768538054
FDS08,OUT049,2927.2686849305674
FDX47,OUT045,2511.671363424073
FDC53,OUT019,263.7026302711922
FDQ19,OUT035,3931.8617908651377
FDL14,OUT045,2485.5348495538205
FDM33,OUT019,570.4904399755941
FDA51,OUT045,1969.155647174592
FDZ27,OUT018,721.33186236605
FDT04,OUT046,653.0007699164083
DRC13,OUT049,2062.3900444643205
FDR16,OUT027,5162.424552267518
FDQ03,OUT027,4963.225337240595
FDE38,OUT035,2786.7257864648604
DRH23,OUT027,1773.322717183105
FDT11,OUT019,561.3253541401451
FDD09,OUT035,2968.7378518742016
FDR40,OUT045,1364.0972170265557
FDX07,OUT017,2937.0735288979613
FDR07,OUT035,1565.1648356018504
FDA51,OUT017,1938.7747365845412
FDT59,OUT019,543.9350763130595
FDF20,OUT017,2991.123996316876
FDR13,OUT045,1957.119694504419
FDY26,OUT049,3401.5858372998355
FDW04,OUT017,2016.0860603386059
FDK52,OUT017,3597.938726288805
FDN60,OUT049,2544.649773817471
FDM09,OUT019,393.88657309393466
FDP46,OUT049,1371.729082074531
FDB50,OUT019,195.7691949699094
NCQ29,OUT049,3825.411540377718
FDP16,OUT027,4692.050428805176
FDX33,OUT018,2358.6704127789744
FDP07,OUT010,490.4571274624907
FDN22,OUT046,3807.469745102933
FDF39,OUT049,3864.0443249771215
FDS21,OUT017,921.3179493841806
NCM42,OUT013,1691.4701882810966
FDK50,OUT019,380.76696741072146
DRF13,OUT027,3621.012389975727
FDH35,OUT018,2441.003218665738
FDP60,OUT018,1568.0284511482116
DRJ49,OUT027,3254.7051891304022
NCT42,OUT019,401.32813240071715
FDE38,OUT049,2792.7396851198287
FDI04,OUT049,3050.6232864815147
NCH54,OUT045,2523.8118491092264
FDT56,OUT049,902.838554158484
DRD15,OUT018,3333.5248312002236
FDV58,OUT013,2952.133167413203
FDP21,OUT049,3062.4147720924625
FDH05,OUT013,3725.580962196487
FDR10,OUT027,3544.038934449065
NCP06,OUT045,2516.5510101407986
FDF33,OUT049,1686.2289763763674
DRK37,OUT013,2996.5874611380045
DRH49,OUT045,1369.6000606192524
FDT58,OUT013,2690.2505305762766
FDD41,OUT018,1620.9369316646323
FDP40,OUT018,1648.42205336111
FDM51,OUT027,2616.4931394742566
FDO45,OUT010,188.17825543810417
FDW33,OUT010,248.24743961569374
FDY24,OUT045,888.6850261587227
FDB10,OUT010,549.6517704396658
FDM40,OUT035,2053.2160884973496
NCI06,OUT017,3020.8113797069086
FDW12,OUT019,319.98026905604956
FDX48,OUT027,3851.7672476951266
NCW05,OUT027,2710.4941082099594
FDX27,OUT017,1537.1132768748375
DRM37,OUT045,2963.6348386004056
FDA38,OUT045,3819.9299443556583
FDR36,OUT046,652.4706097926852
FDZ45,OUT046,3038.1233829075454
FDG05,OUT017,2501.4140777668263
FDK28,OUT013,3900.1326040321583
FDV47,OUT045,1369.017372330126
FDN21,OUT045,2527.035493477092
FDP20,OUT027,3412.116039081768
FDI35,OUT045,3047.7263136599768
DRY23,OUT013,673.0915643069164
FDA56,OUT017,2050.9937028944855
FDB09,OUT013,1983.3688959875099
NCO26,OUT027,2946.2439284240745
FDQ49,OUT018,2299.9188301817467
FDI52,OUT027,3069.4801387669577
FDZ44,OUT027,3195.1705592551284
FDZ09,OUT018,2458.8084845038525
FDY03,OUT049,2196.859576958817
NCG42,OUT017,2037.6616581567248
DRI13,OUT027,4973.084558102143
FDQ32,OUT013,1989.1027286580857
FDW16,OUT035,1416.2010288136835
FDU27,OUT046,721.764927110888
FDR28,OUT010,407.82161350110886
FDQ49,OUT010,381.46802597227344
FDS37,OUT046,1971.0839896048058
FDW26,OUT018,3235.881127427631
FDX12,OUT018,3430.18204727498
NCP06,OUT013,2374.517855217831
FDW45,OUT010,336.6233851491069
NCN30,OUT049,1530.0066188394028
FDN24,OUT049,883.8689643028006
NCL41,OUT027,1003.088429603048
FDR02,OUT019,286.2332809600966
FDD09,OUT010,450.03306007692635
FDS33,OUT010,190.01778126970498
FDU22,OUT045,2002.0120377557055
FDI53,OUT013,2439.1711927629613
DRH01,OUT049,2948.489155283462
FDX32,OUT013,2071.8342131369227
NCP30,OUT018,651.1080020019859
FDB60,OUT045,3017.56142262897
FDB14,OUT049,1418.0812132380095
NCP02,OUT035,894.884612145971
FDJ10,OUT017,2032.4971894360986
FDG34,OUT046,1736.5572295554489
NCB18,OUT017,1371.040380109421
FDM16,OUT049,1135.0523016350792
FDW25,OUT018,1360.5081868315767
FDB35,OUT010,192.4527589496342
DRN11,OUT013,2233.4316912687977
FDF41,OUT019,558.0853544286108
FDH16,OUT045,1375.4429473162993
NCQ50,OUT018,3235.06376065027
DRH23,OUT018,862.6445963306635
DRJ37,OUT013,2354.8979334077508
DRJ24,OUT027,5022.7832717330275
FDY16,OUT035,2983.547474825982
FDQ27,OUT045,1690.4162312711467
FDZ33,OUT045,2505.586346000109
FDF29,OUT045,2049.3533596167053
FDA08,OUT049,2573.406392095143
FDG31,OUT046,999.7357898509165
FDE34,OUT019,431.4201643511049
NCR30,OUT027,1940.6107714176746
FDV33,OUT035,3930.398964301876
DRZ24,OUT018,1855.3529257367554
NCL54,OUT035,2929.939933716795
FDR12,OUT049,2999.7769458234375
NCC54,OUT046,3779.4748775095486
DRN59,OUT013,719.9692545753506
FDX50,OUT019,244.9338024236968
FDV31,OUT027,4707.94537067093
NCA29,OUT027,4588.809276134036
FDW60,OUT049,3029.6798845342523
FDX08,OUT017,2975.2001184743212
DRD49,OUT013,3785.097374278089
FDD33,OUT046,3716.0468222737413
FDW35,OUT013,662.3783724829879
FDJ36,OUT017,1676.3272761283667
FDV51,OUT035,2875.479439923933
FDW36,OUT046,1686.2289763763674
FDH35,OUT046,2593.251624343065
NCS30,OUT027,3005.9185890010076
FDN49,OUT017,639.4616537769223
FDL08,OUT018,3345.1011853200425
FDI09,OUT013,3733.0370499780056
FDP19,OUT018,1861.2220063049726
FDU21,OUT010,79.15208679460237
NCP41,OUT045,1692.3938310686963
FDY10,OUT013,1828.1470632862622
FDP12,OUT018,587.5938561883553
NCN26,OUT049,1978.5824337282438
FDK44,OUT013,2828.158142359636
FDC28,OUT049,1705.1503895139044
FDJ41,OUT027,5027.451322194021
NCT29,OUT035,2013.5662571051625
NCH42,OUT019,491.8960202752746
FDU60,OUT018,2633.7133620901295
FDS02,OUT045,3021.509264743977
FDC51,OUT046,2060.811726924396
FDU03,OUT013,2981.537032647978
FDX39,OUT045,3450.4846227492803
NCY05,OUT010,80.96911268413177
NCL06,OUT027,4705.108628685924
FDD32,OUT035,1238.5829721251864
NCN41,OUT045,2013.5662571051625
NCX53,OUT049,2104.5400288758638
FDU57,OUT019,364.1761295934104
FDQ23,OUT046,1677.1725036246457
FDQ52,OUT045,3821.681305833795
FDC14,OUT045,651.1080020019859
FDY09,OUT035,2971.3755242472625
FDQ28,OUT045,2519.9028931896596
FDV25,OUT046,3587.2814162927434
FDJ07,OUT035,1973.5283972282546
DRB25,OUT049,1682.125767327996
FDK52,OUT019,571.4872977049106
FDY52,OUT027,1779.8478201966514
FDB28,OUT046,2972.141066882906
FDT36,OUT035,583.9597746241349
FDV25,OUT017,3492.6044935739374
NCN07,OUT027,3265.2799649578283
FDC57,OUT017,2975.91235369153
FDQ03,OUT018,3435.1006153586804
FDU23,OUT017,2791.2114625857193
NCX41,OUT035,3494.967557138638
NCD06,OUT035,723.6587785359426
FDW08,OUT045,1692.3938310686963
NCU29,OUT017,2510.281063328592
NCE06,OUT013,2347.8508435717154
FDV52,OUT010,256.85722566816145
FDB02,OUT017,2978.7570967255965
NCR18,OUT045,673.0915643069164
FDK16,OUT049,1521.9884069133032
NCQ29,OUT010,657.9655476110449
FDZ01,OUT019,254.49959516236416
FDW27,OUT035,2552.867489752368
FDD17,OUT018,3337.491491107264
FDW39,OUT013,2938.1018186299893
DRH59,OUT045,1052.264407101795
FDS52,OUT013,1674.2302214974122
FDU40,OUT027,4771.559125532417
NCF54,OUT013,2856.8491945560977
FDH46,OUT045,1679.2695582556003
NCP14,OUT049,1674.2302214974122
FDH50,OUT049,3063.0806653930717
DRF15,OUT010,337.4722805406737
FDV27,OUT027,2483.4378186399567
NCJ06,OUT049,2054.8439533044234
FDN02,OUT018,3139.9054633978026
FDQ51,OUT049,721.764927110888
FDQ07,OUT017,3509.2402174623444
FDS45,OUT049,1690.4162312711467
NCJ06,OUT045,2030.6352062662672
FDD36,OUT035,1969.3682507170313
FDY25,OUT045,3018.009845653989
FDU52,OUT046,2481.743869809323
DRK47,OUT017,3608.800298233005
NCL30,OUT017,2019.3000897757383
FDN22,OUT035,3876.777208712116
NCF30,OUT027,3080.1369351278267
FDK03,OUT035,3905.265989866757
FDT45,OUT017,882.3280441614709
